timestamp,person,words,tags
,Lisa,"Hello and thank you for joining us. This is an interview with Hiroko “Betty” Fukuhara Yoshioka, a Nisei woman, aged 82, who lives in Chicago, Illinois. Today is March 10th, 2005. My name is Lisa Hoffman, I’m from the University of Washington, Tacoma—",
,Mary,"And I’m Mary Hanneman, also from the University of Washington, Tacoma, and we’re going to start out today by just asking if you can tell us a little bit about your family background, your brothers and sisters, a little bit about your parents, and that sort of thing.",
,Hiroko,"Well, I had five sisters, we were a family of six girls, and I remember every time the neighbors would come and tell my father, “This time it’s going to be a boy.” [laughter] But unfortunately, it was all girls. But we’ve been very lucky, that we’ve been close, and I’ve lost the sister next to me, but the rest of us are all okay.",
,Mary,And where do you come in the lineup?,
,Hiroko,I’m the oldest.,
,Mary,You’re the oldest.,
,Hiroko,Uh huh.,
,Lisa,"What are their names, your sisters?",
,Hiroko,"My sister? I have Akiko/Iris, and Sada/Sally, and Chizu/May, and Yvonne/Yui. Does that make five sisters?",
,Lisa,"Two, three, four.",
,Mary,"No, that’s five.",
,Lisa,Okay.,
,Hiroko,Okay?,
,Mary,And—,
,Hiroko,There’s six of us all together. Oh yeah.,
,Mary,"And what about your – oh, you’re right, I counted you, so you need one more.",
,Hiroko,"Okay, the one that passed away, Katsue/Cat, Catherine.",
,Mary,"What about your parents? Do you know when they came to the United States? And tell us what your parents did, and –",
,Hiroko,"I’m not sure about the year, but I know my father was here first, and then he went back to Japan to get my mother. And he used to work in the lumber mill in Tacoma. And then after that he became a salesman. So –",
,Lisa,"What did he sell, what kind of a salesman?",
,Hiroko,Stocks.,
,Lisa,Oh really?,
,Hiroko,[Nods],
,Lisa,Interesting.,
,Hiroko,"Which weren’t very good. [laughs] So, but…",
,Lisa,"Do you--? Oh, I’m sorry.",
,Hiroko,"But we used to go out in the farm in the summertime, and make the money to buy our school clothes, and so we had fun.",
,Lisa,"Would you go with your sisters to the farm, or did your parents take you?",
,Hiroko,"My mother went, and then the sisters all went with us.",
,Lisa,Okay.,
,Hiroko,Yeah.,
,Lisa,How old were you when you started doing that?,
,Hiroko,"Oh, probably now it would be called “child labor.” [general laughter] But we were, we started when we were young, and the younger ones would play around in the field and things.",
,Mary,And you said that you did that so that you could buy school supplies and school clothes…,
,Hiroko,Yeah.,
,Lisa,And so you went to Central Elementary School?,
,Hiroko,Uh huh. And McCarver and then Stadium.,
,Lisa,And what year were you born?,
,Hiroko,In 1922.,
,Lisa,1922,
,Mary,And where did your family live?,
,Hiroko,"We lived on Fawcett Avenue, 1513 ½, I think it was.",
