timestamp,person,words,tags
,Lisa,"Hello and thank you for joining us today. This is an interview with Jack Kazuo Hata, a Nisei man, aged 83 who lives in Northridge, CA in Los Angeles. Today is January 30th, 2005 and I'm Lisa Hoffman from University of Washington Tacoma. So, I would like to just begin with you telling us where and when you were born.",
,Jack,"I was born in Tacoma, WA. May 17, 1921.",
,Lisa,And you're an only child. Is that right?,
,Jack,"Yes, I am.",
,Lisa,"Could you tell me a little bit about your parents, where they came from and when they came to the United States?",
,Jack,"My father and my mother were both born in Toyama City, Japan and my father came I believe in 1915 at the age of about 25.",
,,"And my mother came in 1920 on the last boat that the United States permitted for people to immigrate here. So she was the last person to come to the United States, as a group.",
,Lisa,Did your parents meet in Japan?,
,Jack,"Yes, they both met in Japan in Toyama. Sort of unusual. They met and fell in love and married. Which is unusual because usually it’s family arranged marriages, you know. But I guess Dad was a little different (laughs).",
,Lisa,Did you hear any stories of how they met?,
,Jack,"Well, he was a conscript in the army. And my mother used to teach school. And she would be walking down this country road. And I guess the barracks were close by and I guess dad saw her. (laughs) I guess that's how they met. That's what I heard from my cousin.",
,Lisa,"That's a very sweet story. So, why did your father go to the United States?",
,Jack,"That, I don't know why. But he was a little bit of a maverick, I guess. My grandfather was a doctor and grandfather wanted, he was the third, second son. The first son refused to go to medical school, so Dad was asked to go to medical school, which he didn't wanna do either. So, the third son finally consented and became a doctor. But my dad, he was pretty athletic, he was physically larger than I am. And he was in the army, and after his service is over, I guess he decided he wanted to come to United States, so. My mother used to complain that right after they got married that he decided to come to the United States. So, my mother used to complain that he left her for six years (laughs)",
,Lisa,"Oh, they got married before he left.",
,Jack,"Right, before he left for here.",
,Lisa,And why did your mother not go with him?,
,Jack,I had no idea.,
(00:05:00),Lisa,"So, do you know what your father did when he first came? Did he go? I guess the first question is where did he go when he first arrived?",
,Jack,"I heard, I heard that he came to Guadalupe here in California. For what purpose, I don't know. Then I guess he migrated up north towards Tacoma. And that's where he ended up.",
,Lisa,And do you know what he was doing? What kind of work?,
,Jack,"No, I don't know that, but I guess probably he studied photography in Portland. I think he lived in Portland for a while and then probably he bought a studio in Tacoma. But I had never talked to him about it, so I'm not sure.",
,Lisa,"So, you were born in 1921.",
,Jack,Right.,
,Lisa,And where did you live in Tacoma?,
,Jack,Right across the street from the Buddhist church. The minister's house was directly across the street.,
,Lisa,So was that on Fawcett Avenue?,
,Jack,That was on Fawcett Avenue. 1722 Fawcett Avenue.,
,Lisa,That's a good memory.,
,Jack,yeah. (laughs),
,Lisa,And were you born in that house?,
,Jack,No.,
,Lisa,Where were you born?,
,Jack,"The house, I don't know. It was about... couple three blocks away. I think on Fawcett Avenue, but I'm not sure of that.",
,Lisa,And what was your father’s occupation when you were a child?,
,Jack,"He was a photographer. He had a photo studio for a while. And then he went to work for a portrait studio called Robert M. Smith Studio. It was, I guess it was the best studio Tacoma. And it was a few doors down from Winthrop Hotel. So that will be on Broadway, I think.",
,Lisa,And who would he take pictures of mostly?,
,Jack,"Well, he was, did not take pictures at the studio. He was a photo finisher. Did all the printing, developing, retouching.",
,Lisa,"And, my understanding is that he took a number of pictures of the Japanese community. Is that right?",
(00:07:45),Jack,"Yeah, he was a Japanese community photographer, so he took all the group pictures, the weddings, the funerals, et cetera.",
,Lisa,Did you help him? Would you go to the studio?,
,Jack,"No, I didn't help him. I was too young, I guess.",
,Lisa,And how about your mother? What kind of work did she do?,
,Jack,She taught at the language school. She was there for probably around 15 years till the war started.,
,Lisa,"So, when you were a little child, she was home with you?",
,Jack,"Right, she taught from first grade on so I was there almost 15 years also.",
,Lisa,"Umm, and did your parents speak English?",
,Jack,"My dad did, because he was always with the Caucasian. My mother did not.",
,Lisa,What language would you speak mostly at home?,
,Jack,"At home, I'd speak Japanese. With my...outside of the home, it was always English.",
,Lisa,"So, when you went, what happened when you went to school, did you go to Central Elementary?",
,Jack,"No, I went to school, called Longfellow. It was a wooden structure. I think that was demolished years and years ago.",
,Lisa,Why did you go to Longfellow? Many of the other children your age went to central?,
,Jack,I think I was closer to Longville than to Central.,
,Lisa,"Ok, and how did you get to school?",
,Jack,Walk. Walking.,
,Lisa,With friends or by yourself?,
,Jack,Pretty much by myself. Because most of the my friends went to Central. Because they were closer to central than to Longfellow. So I was pretty much alone.,
(00:10:08),Lisa,Were there other Japanese American children in your classroom?,
,Jack,I think there was one. One Japanese American student.,
,Lisa,But so it sounds like it was quite different from Central?,
,Jack,Yeah.,
,Lisa,"So, what was that like when you grew up in a Japanese speaking household and then you had to go into an English-speaking elementary school?",
,Jack,"There was no problem, not at all, seemed like it was just a natural thing to do. Because, you know, my mother didn't understand English at all. So, I don't know, it's just. It didn't affect me in any way.",
,Lisa,Did you know any English when you first started in elementary school?,
,Jack,I think so. Just. Excuse me. I can't recall that I had difficulty. It all seemed natural.,
,Lisa,"Did you have any relatives, other relatives living in the Tacoma area?",
,Jack,"No. I didn't have any relatives, no siblings (laughs).",
,Lisa,"So, who were your playmates?",
,Jack,"Well, they were classmates at the language school, because as I said, I didn't go to school with the many Japanese Americans, so I think it was more at the language school that, you know, I became close with other Japanese American kids.",
,Lisa,"And for most of your play time, was it with the other Japanese Americans?",
,Jack,Right.,
,Lisa,Did you play much with other Caucasian children?,
,Jack,"No, no, it's it was all just, just about all Japanese Americans. The kids I went to school with and you really don't know why. I don't know why, it may be that the kids that the Caucasian kids live not too close to me, that could have been the reason, but other than that, I have no idea why.",
,Lisa,"Do you remember any experiences of racism or discrimination as a little boy, growing up in Tacoma?",
,Jack,"No, I...have no recollection.",
,Lisa,What about your parents? Would they ever talk about things like this?,
,Jack,"No, no, strictly about Japanese things.",
,Lisa,"And, what year did you start attending the language school then?",
,Jack,I think from the first grade on.,
,Lisa,"Is that also when your mother started teaching, at the school?",
,Jack,"I’m sorry, I didn't hear you.",
,Lisa,"Ohh, is that also when your mother started teaching at the school?",
,Jack,"I think so, I think so. Either she started first or I started first, I don't remember.",
,Lisa,"So what are some of the things that you learned in school, at the language school?",
,Jack,What did I learn?,
,Lisa,What kinds of classes did you have?,
,Jack,"Well, basically, the language school was to learn the language. So that's what was the primary objective, I guess plus learning calligraphy and a little bit of history.",
(00:15:00),Lisa,"And, were you excited to go to the language school? Did you have any choice about going to the school?",
,Jack,I don't think so (laughs) I went because I think I had to go.,
,Lisa,Why do you think your parents wanted you to go?,
,Jack,"I think that was the thing to do. You go to the language school, just about everybody in Tacoma, I think went to the language school. I don't know hardly anybody that didn't go.",
,Lisa,"So, do you remember who your teachers were? Do you remember any of their names of your teachers?",
